Dataset,Augmentation,Correct,Incorrect,Not found,Number of paintings
Oil paint on canvas,1,98.8,0.8,0.4,1800
Oil paint on canvas,1,98,1.6,0.4,1800
Oil paint on canvas,1,99.2,0.4,0.4,1800
Oil paint on canvas,1,98,1.2,0.8,1800
Oil paint on canvas,1,98.8,0.8,0.4,1800
Screenprint on paper,1,80.4,15.6,4,1800
Screenprint on paper,1,84,12,4,1800
Screenprint on paper,1,79.6,16.8,3.6,1800
Screenprint on paper,1,80.8,14.8,4.4,1800
Screenprint on paper,1,78.4,16.4,5.2,1800
Lithograph on paper,1,88.4,9.6,2,1800
Lithograph on paper,1,89.6,8.8,1.6,1800
Lithograph on paper,1,87.2,10.4,2.4,1800
Lithograph on paper,1,92.4,7.2,0.4,1800
Lithograph on paper,1,86.4,12,1.6,1800
Watercolour on paper,1,98,1.2,0.8,1800
Watercolour on paper,1,97.2,2,0.8,1800
Watercolour on paper,1,96.4,1.6,2,1800
Watercolour on paper,1,98.4,0.8,0.8,1800
Watercolour on paper,1,96.8,1.6,1.6,1800
Mixed,1,85.2,14,0.8,9320
Mixed,1,88,11.6,0.4,9320
Mixed,1,83.6,15.2,1.2,9320
Mixed,1,82.8,16.4,0.8,9320
Mixed,1,84.8,13.6,1.6,9320
Oil paint on canvas,2,73.6,24.4,2,1800
Oil paint on canvas,2,85.6,7.6,6.8,1800
Oil paint on canvas,2,81.6,10.4,8,1800
Oil paint on canvas,2,80,15.2,4.8,1800
Oil paint on canvas,2,79.2,17.2,3.6,1800
Screenprint on paper,2,40.4,56.8,2.8,1800
Screenprint on paper,2,46.8,44.4,8.8,1800
Screenprint on paper,2,48,42.8,9.2,1800
Screenprint on paper,2,43.6,48.4,8,1800
Screenprint on paper,2,49.6,43.6,6.8,1800
Lithograph on paper,2,56.8,39.6,3.6,1800
Lithograph on paper,2,48,50.4,1.6,1800
Lithograph on paper,2,58,39.6,2.4,1800
Lithograph on paper,2,49.6,45.2,5.2,1800
Lithograph on paper,2,54.4,42.8,2.8,1800
Watercolour on paper,2,64.4,6.8,28.8,1800
Watercolour on paper,2,60.8,11.6,27.6,1800
Watercolour on paper,2,67.2,8.4,24.4,1800
Watercolour on paper,2,63.6,7.6,28.8,1800
Watercolour on paper,2,65.2,12.4,22.4,1800
Mixed,2,47.6,46,6.4,9320
Mixed,2,52,32.8,15.2,9320
Mixed,2,68.8,16.8,14.4,9320
Mixed,2,59.6,24.4,16,9320
Mixed,2,56.4,27.2,16.4,9320
